Usage statistics start at 5:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-10-22,5674.0,1437.6399999999994,646.4500000000044,1687.5999999999913,1043.159999999989,120.0,501.3899999999994
2015-10-23,5702.0,1409.6100000000006,572.8000000000029,1391.5,1280.62000000001,0.6100000000005821,797.8500000000058
2015-10-24,2888.0,648.9100000000035,274.8600000000006,663.3999999999942,742.5200000000041,0.6599999999998545,440.0599999999977
2015-10-25,3182.0,563.0400000000081,238.76000000000204,629.6000000000058,624.7399999999907,0.7000000000007276,1015.3799999999974
2015-10-26,6172.0,1526.9100000000035,646.9000000000015,1694.3999999999942,1356.6600000000035,1.2099999999991269,706.6800000000003
2015-10-27,6282.0,1612.75,681.0800000000017,1717.199999999997,1247.0,1.3800000000010186,778.8499999999985
2015-10-28,6192.0,1334.6499999999942,653.0799999999945,1698.5999999999913,1236.8199999999924,0.6500000000014552,1021.5599999999977
2015-10-29,6152.0,1457.7899999999936,632.3400000000038,1793.0,979.5299999999988,195.90999999999985,862.3299999999945
2015-10-30,5896.0,1549.9199999999983,586.5299999999988,1623.199999999997,1153.4900000000052,8.409999999999854,712.8600000000006
2015-10-31,2802.0,567.5299999999988,245.17000000000553,657.9000000000087,779.5100000000093,0.7000000000007276,431.7299999999959
2015-11-01,2518.0,600.9300000000076,235.3000000000029,632.6999999999971,635.1999999999971,0.6899999999986903,296.4300000000003
2015-11-02,6054.0,1559.2200000000012,655.0999999999985,1740.4000000000087,1079.429999999993,49.51000000000204,728.0800000000017
2015-11-03,5261.0,1310.9599999999919,526.8499999999985,1198.5999999999913,1004.8399999999965,74.80999999999767,893.3199999999997
2015-11-04,6106.0,1603.5199999999895,643.3499999999985,1740.3999999999942,1106.9199999999983,77.51000000000204,686.760000000002
2015-11-05,6130.0,1416.199999999997,696.0499999999956,1763.800000000003,1124.75,156.88999999999942,726.2400000000052
