Usage statistics from between 5:00 and 20:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-10-26,4791.0,1154.2300000000105,543.1299999999974,1416.0,931.6800000000076,1.1700000000018917,541.8700000000026
2015-10-27,4919.0,1176.1500000000087,578.1700000000055,1428.5,945.9700000000012,1.2000000000007276,584.0099999999948
2015-10-28,5230.0,1146.550000000003,549.2899999999936,1434.699999999997,989.3000000000029,0.4099999999998545,909.1800000000003
2015-10-29,5134.0,1231.6699999999983,530.3300000000017,1506.5,726.8199999999924,195.04000000000087,756.9499999999971
2015-10-30,4550.0,1113.6399999999994,498.9699999999939,1373.699999999997,849.1100000000006,8.25,482.5699999999997
2015-10-31,1721.0,283.72000000000116,149.0699999999997,395.6000000000058,510.15000000000873,0.4400000000023283,309.04999999999563
2015-11-01,1538.0,324.6999999999971,149.17000000000553,401.6999999999971,405.8799999999901,0.43000000000029104,182.5
2015-11-02,4892.0,1223.6699999999983,551.9700000000012,1463.9000000000087,820.6699999999983,49.25,582.9800000000032
2015-11-03,4246.0,1062.5899999999965,424.4400000000023,944.5,755.1499999999942,74.55999999999767,780.0
2015-11-04,4943.0,1258.7899999999936,539.4199999999983,1463.0999999999913,841.8099999999977,77.22999999999956,560.1800000000003
2015-11-05,5101.0,1222.6499999999942,580.489999999998,1477.699999999997,860.9700000000012,156.0699999999997,603.260000000002
2015-11-06,4590.0,1075.8399999999965,525.4200000000055,1425.800000000003,710.1300000000047,192.6800000000003,450.3099999999977
2015-11-07,1778.0,284.43000000000757,177.4499999999971,432.5,455.31999999999243,0.4399999999986903,351.95000000000437
2015-11-08,1581.0,339.1200000000099,149.77000000000407,402.8999999999942,407.3600000000006,0.4599999999991269,203.22000000000116
2015-11-09,4775.0,1185.0299999999988,529.8000000000029,1427.5,887.3799999999901,15.860000000000582,516.3900000000067
2015-11-10,4915.0,1180.300000000003,520.7299999999959,1494.1000000000058,970.6800000000076,2.2000000000007276,530.8199999999997
2015-11-11,2325.0,564.6500000000087,173.37999999999738,471.30000000001746,399.81999999999243,0.36999999999898137,649.1599999999962
